METHOD,API,CALLER,AUTH,REQUEST_SCHEMA,RESPONSE_SCHEMA,IDEMPOTENCY,TENANT_SCOPE,ERROR_CODES,RATE_LIMIT,BODY_LIMIT,STATUS
POST,/codestra/api/v1/call-events,middleware,HMAC SHA-256 + timestamp + event ID,canonical schema 1.0 lifecycle event,accepted/duplicate/applied status,event ID plus canonical payload hash,allowlisted tenant + mapped campaign/agent/extension/subject,"202 200 400 403 404 409",upstream gateway policy,262144 bytes,CONTRACT_TESTED_PASS
POST,/codestra/call-control/v1/current,Agent Desktop,Odoo user session,empty JSON-RPC,current owned call or null,n/a,agent tenant + identity,"200 JSON-RPC error",Odoo policy,Odoo JSON limit,ACTIVE
POST,/codestra/call-control/v1/match,Agent Desktop,Odoo user session,number + optional campaign,normalized number + non-ambiguous candidates,n/a,user tenant CRM rules,"200 JSON-RPC error",Odoo policy,Odoo JSON limit,ACTIVE
POST,/codestra/call-control/v1/calls/{call_id}/workspace,Agent Desktop,Odoo user session,call path identifier,customer timeline notes dispositions callbacks templates,n/a,owner + tenant + campaign,"200 JSON-RPC error",Odoo policy,Odoo JSON limit,IMPLEMENTED
POST,/codestra/call-control/v1/calls/{call_id}/notes,Agent Desktop,Odoo user session,note body/revision/type/visibility/idempotency key,saved/duplicate/note revision,command key + client revision,owner + tenant,"200 JSON-RPC error",Odoo policy,10000 note characters,IMPLEMENTED
POST,/codestra/call-control/v1/calls/{call_id}/disposition,Agent Desktop,Odoo user session,disposition/sub-disposition/notes/idempotency key,saved + selected codes,command key,owner + campaign + tenant,"200 JSON-RPC error",Odoo policy,Odoo JSON limit,IMPLEMENTED
POST,/codestra/call-control/v1/calls/{call_id}/callbacks,Agent Desktop,Odoo user session,time/timezone/reason/idempotency key,callback id + dispatch disabled,command key,owner + campaign + tenant,"200 JSON-RPC error",Odoo policy,Odoo JSON limit,IMPLEMENTED
POST,/codestra/call-control/v1/calls/{call_id}/callbacks/{callback_id}/{action},Agent Desktop,Odoo user session,reschedule time/timezone or complete/cancel,status + dispatch disabled,n/a,owner + call + tenant,"200 JSON-RPC error",Odoo policy,Odoo JSON limit,IMPLEMENTED
POST,/codestra/call-workspace/v1/calls/{call_id}/tasks,Agent Desktop,Odoo user session,summary/due date/priority/note/optional owner,activity identifier,n/a,owner + CRM lead + tenant,"200 JSON-RPC error",Odoo policy,Odoo JSON limit,IMPLEMENTED
POST,/codestra/call-workspace/v1/calls/{call_id}/recording/playback,Agent Desktop,Odoo user session,call identifier,short-lived HTTPS grant max 120 seconds,n/a,call scope + recording permission + campaign scope,"200 JSON-RPC error",Odoo policy,Odoo JSON limit,IMPLEMENTED_SECURE
POST,/codestra/call-control/v1/calls/{call_id}/history,Agent Desktop,Odoo user session,offset + bounded limit,scoped call history page,n/a,owner + tenant,"200 JSON-RPC error",Odoo policy,Odoo JSON limit,ACTIVE
POST,/codestra/call-control/v1/calls/{call_id}/{action},Agent Desktop,Odoo user session,action parameters + idempotency key,queued command id,command key,owner + campaign + tenant,"200 JSON-RPC error",Odoo policy,Odoo JSON limit,ACTIVE_DEFAULT_DISABLED
POST,/codestra/call-workspace/v1/calls/search,Supervisor or QA,Odoo user session,bounded search filters,paged call summaries,n/a,record rules + tenant + assigned campaign,"200 JSON-RPC error",Odoo policy,Odoo JSON limit,IMPLEMENTED
POST,/codestra/call-workspace/v1/calls/{call_id}/detail,Supervisor or QA,Odoo user session,call identifier,call/timeline/notes/QA/recording metadata,n/a,record rules + tenant + assigned campaign,"200 JSON-RPC error",Odoo policy,Odoo JSON limit,IMPLEMENTED
POST,/codestra/call-workspace/v1/supervisor/dashboard,Supervisor,Odoo user session,empty JSON-RPC,scoped agent states + explicitly unavailable queue metrics,n/a,tenant + assigned campaigns,"200 JSON-RPC error",Odoo policy,Odoo JSON limit,IMPLEMENTED
POST,/codestra/call-workspace/v1/calls/{call_id}/qa,QA,Odoo user session,seven scores/comment/coaching flag,immutable review and score,n/a,QA role + call tenant/campaign scope,"200 JSON-RPC error",Odoo policy,Odoo JSON limit,IMPLEMENTED
POST,/codestra/call-workspace/v1/qa/{review_id}/coaching,Supervisor or QA,Odoo user session,due date/comments,coaching assignment,n/a,review + call tenant/campaign scope,"200 JSON-RPC error",Odoo policy,Odoo JSON limit,IMPLEMENTED
POST,/codestra/call-workspace/v1/coaching/{id}/acknowledge,Assigned agent,Odoo user session,empty JSON-RPC,acknowledgement state/time,n/a,exact assigned agent,"200 JSON-RPC error",Odoo policy,Odoo JSON limit,IMPLEMENTED
POST,/realtime-api/api/v1/realtime/sessions,Agent Desktop,Keycloak browser session,signed identity context,single-use ticket/session/ws URL,one ticket consumed once,subject/tenant/business/campaign/agent bound,"401 403 429 503",gateway policy,header-only,ACTIVE
WS,/ws/agent,Agent Desktop,single-use realtime ticket,auth frame + replay cursor,authenticated + targeted events,event id/cursor,subject/tenant/business/campaign/agent bound,"4401 4403",session policy,frame limit,ACTIVE
POST,/api/v1/integration/results,separate integration worker,OAuth2 service identity,result-delivery contract,result acknowledgement,contract-specific idempotency,independent integration tenant rules,"400 401 403 409 413 422 429 500",Kong policy,configured request limit,SEPARATE_NOT_POPUP_DEPENDENCY
